sep=;
"Name";"Email";"Phone";"Address";"City";"Registration Date";"Total Spent";"Country"
"Oscar Nilsson";"nilsson_oscar@hotmail.com";"(+49) 014294019";"224 Highway";"Berlin";"2021-01-16";"5204.00 SEK";"Germany"
"Hugo Smith";"hugo-smith@company.co";"(+41) 7034824771";"123 Park Ave";"Geneva";"2023-05-21";"1548.17 SEK";"Switzerland"
"Liam Johansson";"liam-johansson@company.co";"(+66) 0229014";"227 Elm Street";"Bangkok";"2024-06-08";"5274.07";"Thailand"
"Noah Larsson";"";"(+33) 32288985";"185 Highway";"Lyon";"2022-12-20";"6107.77 EUR";"France"
"Nils Smith";"nils-smith@company.co";"(+27) 8893734670";"208 Park Ave";"Cape Town";"2023-01-02";"280.75 EUR";"South Africa"
"Olivia Olsson";"olivia-olsson@bizmail.net";"(+49) 757494902";"190 Highway";"Berlin";"2024-05-08";"4404.22 EUR";"Germany"
"Olivia Brown";"olivia-brown@hotmail.com";"(+55) 12661094";"227 King St";"Rio de Janeiro";"2024-09-17";"nan";"Brazil"
"Oscar Williams";"";"(+39) 9176936763";"55 King St";"Milan";"2021-01-28";"8484.88 EUR";"Italy"
"Nils Jones";"nils.jones@company.co";"(+81) 2545738";"232 Oak Road";"Osaka";"2024-06-06";"1651.90";"Japan"
"Oscar Persson";"oscarpersson@company.co";"(+49) 05943897";"63 King St";"Munich";"2022-03-18";"nan USD";"Germany"
"Sophia Svensson";"svensson_sophia@company.co";"(+81) 236687887";"43 Highway";"Osaka";"2022-10-01";"3623.48 EUR";"Japan"
"Noah Johnson";"johnson_noah@outlook.com";"(+33) 982274954";"75 Main St";"Paris";"2021-11-22";"2020.60";"France"
"Klara Jones";"klara-jones@company.co";"(+1) 58238687";"149 Park Ave";"Los Angeles";"2024-02-24";"3807.73 EUR";"USA"
"Ella Svensson";"ella-svensson@hotmail.com";"(+33) 78137674233";"213 Baker St";"Paris";"2025-08-29";"670.50";"France"
"Klara Johnson";"klara-johnson@hotmail.com";"(+39) 95590599";"253 Highway";"Milan";"2020-11-27";"3324.02";"Italy"
"Leo Persson";"";"(+66) 78681447";"252 Baker St";"Bangkok";"2023-04-17";"nan USD";"Thailand"
"Oscar Olsson";"oscar-olsson@yahoo.com";"(+27) 8272359";"32 King St";"Johannesburg";"2025-01-18";"nan";"South Africa"
"Ethan Brown";"ethan.brown@gmail.com";"(+66) 6974995641";"9 Park Ave";"Chiang Mai";"2024-09-06";"6264.33";"Thailand"
"Lucas Andersson";"lucasandersson@yahoo.com";"(+66) 64647154";"101 Elm Street";"Bangkok";"2024-04-10";"3302.12 EUR";"Thailand"
"Leo Larsson";"leo-larsson@bizmail.net";"(+55) 120092820";"233 Highway";"Rio de Janeiro";"2022-01-26";"2725.56 USD";"Brazil"
"Olivia Andersson";"";"(+81) 9966734595";"120 King St";"Osaka";"2024-01-13";"1648.62 USD";"Japan"
"Ava Larsson";"larsson_ava@outlook.com";"(+46) 140369656";"89 Elm Street";"Göteborg";"2023-02-19";"872863.00";"Sweden"
"Ethan Brown";"ethanbrown@hotmail.com";"(+49) 874016400";"135 Baker St";"Munich";"2025-09-30";"nan SEK";"Germany"
"Sophia Andersson";"sophia.andersson@company.co";"(+55) 738347359";"196 Highway";"Sao Paulo";"2021-07-28";"4811.10";"Brazil"
"Liam Smith";"liam.smith@outlook.com";"(+33) 6014672384";"64 Elm Street";"Paris";"2021-10-02";"5471.34 EUR";"France"
"Olivia Smith";"olivia.smith@outlook.com";"(+46) 0303662546";"197 Park Ave";"Göteborg";"2022-01-20";"nan USD";"Sweden"
"Ella Johnson";"ellajohnson@yahoo.com";"(+46) 58323024";"195 Park Ave";"Stockholm";"2022-02-21";"6612.48 SEK";"Sweden"
"Emma Larsson";"emma.larsson@hotmail.com";"(+46) 094353344";"61 Oak Road";"Göteborg";"2021-05-15";"5498.16 EUR";"Sweden"
