Name;Email;Phone;Address;City;Registration Date;Total Spent;Country
Oscar Nilsson;nilsson_oscar@hotmail.com;+49 014-294019;224 Highway;Berlin;16.01.2021;"5;204.00 SEK";Germany
Hugo Smith;hugo-smith @ company.co;+41 7034824771;123 Park Ave;geneva ;2023-05-21;"SEK 1;548.17";Switzerland
Liam Johansson;liam-johansson@company.co;+66 022-9014;227 Elm Street;Bangkok;06.08.2024;"5;274.07";Thailand
Noah Larsson;noahlarsson@bizmail..net;+33 322-88985;185 Highway;Lyon;20/12/2022;"€ 6;107.77";France
Nils Smith;nils-smith @ company.co;+27 889-3734670;208 Park Ave;cape  town;"Jan 02; 2023";"280;75 EUR";South Africa
Olivia Olsson;olivia-olsson@bizmail.net;(0049)757494902;190 Highway;Berlin;05/08/24;"€ 4;404.22";Germany
Olivia Brown;olivia-brown@hotmail.com;+5512661094;227 King St;Rio-de-Janeiro;17-Sep-24;"9;888;82";Brazil
Oscar Williams;williams_oscar@yahoo..com;(0039)9176936763;55 King St;Milan;"Jan 28; 2021";"8;484.88 EUR";Italy
Nils Jones;nils.jones @ company.co;+81 254-5738;232 Oak Road;OSAKA.;2024-06-06;"1;651.90";Japan
Oscar Persson;oscarpersson@company.co;+4905943897;63 King St;Munich;18-Mar-22;"2;968;48 $";Germany
Sophia Svensson;svensson_sophia@company.co;+81-236687887;43 Highway;Osaka; 10.01.2022 ;"3;623.48 €";Japan
Noah Johnson;johnson_noah@outlook.com;+33982274954;75 Main St;Paris.;22/11/2021;"2;020.60";France
Klara Jones;klara-jones @ company.co;+158238687;149 Park Ave;LOS ANGELES;02/24/24;"€ 3;807.73";USA
Ella Svensson;ELLA-SVENSSON@HOTMAIL.COM;781376742 +33;213 Baker St;Paris;"Aug 29; 2025";"670;50";France
Klara Johnson;klara-johnson@hotmail.com;(+39)95590599;253 Highway;Milan;"Nov 27; 2020";"3;324.02";Italy
Leo Persson;persson_leo@bizmail..net;(+66)78681447;252 Baker St;bangkok;2023-04-17;"USD 9;675;94";Thailand
Oscar Olsson;oscar-olsson@yahoo.com;+27 8272359;32 King St;Johannesburg ;18.01.2025;"2;528;19";South Africa
Ethan Brown;ETHAN.BROWN@GMAIL.COM;(+66)6974995641;9 Park Ave;Chiang Mai;09/06/2024;"6;264.33";Thailand
Lucas Andersson;lucasandersson@yahoo.com;(+66)64647154;101 Elm Street;bangkok;10-Apr-24;"EUR 3;302.12";Thailand
Leo Larsson;leo-larsson@bizmail.net;+55 120-092820;233 Highway;Rio de Janeiro;26-Jan-22;"2;725.56 $";Brazil
Olivia Andersson;andersson_olivia@yahoo..com;+81 996-6734595;120 King St;Osaka;13-Jan-24;"USD 1;648.62";Japan
Ava Larsson;LARSSON_AVA@OUTLOOK.COM;+46 140-369656;89 Elm Street;göteborg;19/02/2023;8 728 63;Sweden
Ethan Brown;ethanbrown@hotmail.com;+49874016400;135 Baker St;Munich ;30.09.2025;"SEK 5;460;45";Germany
Sophia Andersson;sophia.andersson@company.co;+55 738-347359;196 Highway;Sao Paulo; 07/28/21 ;"4;811.10";Brazil
Liam Smith;liam.smith @ outlook.com;+33-6014672384;64 Elm Street;PARIS;"Oct 02; 2021";"5;471.34 EUR";France
Olivia Smith;olivia.smith@outlook.com;03036625 +46;197 Park Ave;Göteborg;2022-01-20;"2;825;32 $";Sweden
Ella Johnson;ellajohnson@yahoo.com;+4658323024;195 Park Ave;Stockholm;02/21/22;6 612.48 SEK;Sweden
Emma Larsson;EMMA.LARSSON@HOTMAIL.COM;+46-094353344;61 Oak Road;göteborg;15/05/2021;"€ 5;498.16";Sweden
Leo Nilsson;nilsson_leo@outlook..com;+41-1675677002;85 Elm Street;Geneva;27.12.2023;"5;542.30 SEK";Switzerland
Ethan Brown;ethanbrown@hotmail.com;+49874016400;135 Baker St;Munich ;30.09.2025;"SEK 5;460;45";Germany
Ella Johansson;johansson_ella@outlook.com;(+81)979270335;58 Park Ave;tokyo; 05/24/25 ;"6;941.01 $";Japan
